fam;a4;a5
id-1;0,29;-0,3
id-2;0,16;0,65
id-3;0,16;-0,25
id-4;0,2;-0,25
id-5;0,11;-0,35
id-6;0,42;-0,25
id-7;0,16;-0,35
id-8;0,24;-0,15
id-9;0,38;-0,35
id-10;0,2;-0,3
id-11;0,16;-0,3
id-12;0,24;-0,3
id-13;0,29;-0,3
id-14;0,24;-0,4
id-15;0,2;-0,3
id-16;0,11;-0,3
id-17;0,2;-0,3
id-18;0,29;-0,3
id-19;0,2;-0,3
id-20;0,29;-0,3
id-21;0,11;-0,4
id-22;0,07;-0,35
id-23;0,11;-0,3
id-24;0,2;-0,25
id-25;0,16;-0,3
id-26;0,2;-0,3
id-27;0,2;-0,3
id-28;0,42;-0,15
id-29;0,29;-0,3
id-30;0,02;-0,4
id-31;0,07;-0,35
id-32;1,4;-0,4
id-33;0,38;-0,15
id-34;0,2;-0,25
id-35;0,29;-0,25
id-36;0,11;-0,35
id-37;0,24;-0,25
id-38;0,29;-0,2
id-39;0,2;-0,3
id-40;0,02;-0,25
id-41;0,11;-0,3
id-42;0,11;-0,35
id-43;-0,07;-0,4
id-44;0,11;-0,35
id-45;0,16;-0,3
id-46;0,24;-0,25
id-47;0,02;-0,4
id-48;0,07;-0,35
id-49;0,51;-0,25
id-50;0,42;-0,25
id-51;0,11;-0,35
id-52;0,24;-0,25
id-53;0,16;-0,35
id-54;0,16;-0,3
id-55;0,33;-0,2
id-56;0,51;-0,15
id-57;0,02;-0,4
id-58;0,2;-0,3
id-59;0,2;-0,2
id-60;0,24;-0,3
id-61;0,29;-0,2
id-62;0,2;-0,3
id-63;0,29;-0,15
id-64;0,42;-0,3
id-65;0,11;-0,3
id-66;0,24;-0,3
id-67;0,24;-0,25
id-68;0,16;-0,35
id-69;0,16;-0,25
id-70;0,24;-0,45
id-71;0,2;-0,3
id-72;-0,02;-0,35
id-73;0,24;-0,35
id-74;0,07;-0,35
id-75;0,16;-0,3
id-76;0,16;-0,35
id-77;0,11;-0,3
id-78;0,29;-0,35
id-79;0,24;-0,2
id-80;0,2;-0,3
id-81;0,24;-0,2
id-82;0,11;-0,3
id-83;-0,02;-0,1
id-84;0,33;-0,25
id-85;0,11;-0,4
id-86;0,16;-0,35
id-87;0,16;-0,2
id-88;0,16;-0,35
id-89;0,02;-0,35
id-90;0,02;-0,35
id-91;0,16;-0,3
id-92;0,2;-0,35
id-93;0,16;-0,3
id-94;0,33;-0,3
id-95;0,24;-0,25
id-96;0,42;-0,2
id-97;0,02;-0,3
id-98;0,16;-0,3
id-99;0,2;-0,2
id-100;-0,11;-0,6
id-101;0,07;-0,4
id-102;0,51;-0,15
id-103;0,2;-0,35
id-104;0,24;-0,25
id-105;0,16;-0,35
id-106;0,11;-0,25
id-107;0,2;-0,25
id-108;0,11;-0,3
id-109;0,02;-0,4
id-110;0,11;-0,3
id-111;0,02;-0,1
id-112;0,2;-0,3
id-113;0,24;-0,25
id-114;0,07;-0,28
id-115;0,56;-0,25
