Field=#~Integer~#~50|Field=Comment~String~Comment~100|Field=Description~String~Description~100|Field=Designator~String~Designator~100|Field=Footprint~String~Footprint~100|Field=LibRef~String~LibRef~100|Field=Quantity~Integer~Quantity~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~temperature_and_humidity_controller.PrjPcb|ReportField=ProjectFullPath~C:\Users\Lapte\Documents\4_course\КТОП\temperature_and_humidity_controller\temperature_and_humidity_controller.PrjPcb|ReportField=Title~Bill of Materials For Project [temperature_and_humidity_controller.PrjPcb] (No PCB Document Selected)|ReportField=TotalQuantity~41|ReportField=ReportTime~23:17:45|ReportField=ReportDate~29.12.2022|ReportField=ReportDateTime~29.12.2022 23:17:45|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~Лаптев А.В.|ReportField=CheckedBy~Уланов П.Н.|ReportField=CompanyName~АлтГУ|ReportField=CurrentDate~29.12.2022|ReportField=CurrentTime~23:17:43|ReportField=Date~|ReportField=DecimalNumber~ПЗ 090301.595 ЭЗ|ReportField=DocumentFullPathAndName~C:\Users\Lapte\Documents\4_course\КТОП\temperature_and_humidity_controller\Schem_controller.SchDoc|ReportField=DocumentName~Schem_controller.SchDoc|ReportField=DocumentNumber~|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=FirstApplication~GlobalProjectNumber|ReportField=HeadOfSector~|ReportField=HelpNumber~|ReportField=ImagePath~|ReportField=Letter1~|ReportField=Letter2~|ReportField=Letter3~|ReportField=MainDevice~|ReportField=Material~|ReportField=ModifiedDate~29.12.2022|ReportField=Name~Регулятор температуры и влажности|ReportField=NormInspection~Норм.Контр.|ReportField=Organization~|ReportField=PageSetup~Record=PageOptions:CenterHorizontal=True:CenterVertical=True:PrintScale=0.94:XCorrection=1.00:YCorrection=1.00:PrintKind=1:BorderSize=5000000:LeftOffset=0:BottomOffset=0:Orientation=1:PaperLength=1000:PaperWidth=1000:Scale=100:PaperSource=7:PrintQuality=-4:MediaType=1:DitherType=10:PaperKind=A4:PrintScaleMode=1|ReportField=ProcessInspection~|ReportField=ProjectName~temperature_and_humidity_controller.PrjPcb|ReportField=Revision~|ReportField=Rule~|ReportField=ScaleFactor~-|ReportField=SheetNumber~1|ReportField=SheetTotal~1|ReportField=Time~|ReportField=Title~Регулятор температуры и влажности|ReportField=UnificationControl~|ReportField=Weight~-|ReportField=DataSourceFileName~temperature_and_humidity_controller.PrjPcb|ReportField=DataSourceFullPath~C:\Users\Lapte\Documents\4_course\КТОП\temperature_and_humidity_controller\temperature_and_humidity_controller.PrjPcb|ReportField=PCBConfigurationName~Default Configuration|ReportField=Item~|ReportField=ItemRevision~|ReportField=ItemAndRevision~|ReportField=ItemRevisionBase~|ReportField=ItemRevisionLevel1~|ReportField=ItemRevisionLevel2~|ReportField=ItemRevisionLevel1AndBase~|ReportField=ItemRevisionLevel2AndLevel1~
1||Sensor, Humidity+Temp, Digital, Capacitive|BK1|WF_4|HUM_AM2301|1
2|PEC11R-4215F-S0024|Incremental Encoder, 12 Mm, Contact Rating 10 Ma - 5 Vdc|BR1|XDCR_PEC11R-4215F-S0024|PEC11R-4215F-S0024|1
3||Capacitor|C1, C3|RAD-0.3|Cap|2
4||Polarized Capacitor (Axial)|C2, C4, C5, C6, C7|POLAR0.8|Cap Pol2|5
5||Typical INFRARED GaAs LED|D1, D3, D4, D6, D8|LED-0|LED0|5
6||Default Diode|D2, D5, D7|SMC|Diode|3
7||IC REG LIN 5V 1A|DA1|TO220|LM7805|1
8||LCD Character Disp, 16X2|DPY1|LCDCHAR_16X2_BLU|LCDCHAR_16X2_BLU|1
9||Single-Pole Dual-Throw Relay|K1, K2|MODULE5B|Relay-SPDT|2
10||Loudspeaker|LS1|PIN2|Speaker|1
11|ATmega8-16PU|8-bit AVR Microcontroller, 4.5-5.5V, 16MHz, 8KB Flash, 512 Bytes EEPROM, 1KB SRAM, 28-pin PDIP, Industrial Grade (-40°C to 85°C)|MCU1|28P3|CMP-0095-00372-1|1
12||NPN General Purpose Amplifier|Q1, Q2|TO-92A|2N3904|2
13||Resistor|R1, R2, R3, R4, R5, R6, R7, R8, R9, R10, R11, R12, R13, R14|AXIAL-0.4|Res2|14
14|Power_connector||XS1|CUI_PJ-037AH|Power_connector|1
15||Crystal Oscillator|Y1|R38|XTAL|1
